item_id,upper_category,sub_category,brand,things,price,description,delivery_charge,picture_url,qty
A2-004,화장품,메이크업,베네피트,올스타 키트(All Star Kits),45600,밝고 환한 얼굴로 여성미를 강조하고 싶다면 브라이트 메이크업이 가능한 제품들로 구성된 ‘두 더 브라이트 씽’을 결점 없이 완벽한 피부와 메이크업의 지속력과 밀착력을 높이고 싶다면 베이스 메이크업 제품들로 알차게 구성된 ‘프림핑 위드 더 스타스’를 건강한 피부와 365일 휴양지에서 뜨거운 태양 아래 있는 기분을 만끽하고 싶다면 당신을 고급스럽게 그을린 피부의 브론즈 챔피언으로 연출해 줄 ‘더 브론즈 오브 챔피온스’를 추천합니다.,0,A2-004.jpg,1
A2-005,화장품,메이크업,디올,디올 어딕트 립 글로우 컬러 어웨이크닝 립밤 코랄 (3.5g),38000,하루종일 입술을 생기 있고 촉촉하게 지속해주는 디올의 아이코닉한 디올 어딕트 립 글로우가 코랄 컬러로 선보입니다. 2014년 트리아농 컬렉션에서만 익스클루시브로 선보이는 모든 입술에 사용 가능한 이 립밤은 반짝이는 봄 햇살을 입술에 새긴 듯한 아름다운 컬러를 선사하며 자연스러운 생기로 물들여줍니다.,2500,A2-005.jpg,1
A2-006,화장품,메이크업,에스티 로더,퓨어 칼라 5색 아이섀도우 팔레트 (7.6g),65000,풍부하고 다양한 컬러가 조화된 아이섀도우 팔레트 자연스런 룩에서부터 강렬한 눈매까지 다양한 메이크업을 연출할 수 있습니다. 매력적이고 풍부한 컬러들과 텍스처의 조화로 다양한 아이메이크업이 가능합니다. 한 번의 터치로도 선명하게 발색되는 컬러와 뛰어난 지속력을 제공합니다.,0,A2-006.jpg,1
A2-007,화장품,메이크업,슈에무라,크림 아이섀도우,26600,펄과 매트 두 가지 질감의 부드럽게 미끄러지는 크림 타입 아이 섀도우. 아이 메이크업 테크닉이 부족해 고민하는 메이크업 초보를 위한 슈에무라의 제안. 펄과 매트 두 가지 질감의 부드럽게 미끄러지는 크림 타입 아이 섀도우. ,0,A2-007.jpg,1
A2-008,화장품,메이크업,맥,플레이랜드 립스틱,27000,다양한 컬러와 텍스처로 어디서든 돋보이는 룩을 연출할 수 있는 맥에서 가장 유명한 제품,0,A2-008.jpg,1
A2-009,화장품,메이크업,샤넬,루쥬 알뤼르 3.5g,40000,욕망의 대상이라 불리는 루쥬 알뤼르는 심플하고 럭셔리하며 동시에 모던합니다. 샤넬이 재해석한 영원히 여성적인 제스처. 이 유혹을 부르는 클릭은 즉흥적인 터치업의 순간조차 관능적으로 표현하도록 합니다. 한 번의 클릭으로 립스틱은 모습을 드러내며 입술에 바를 준비를 하게 됩니다. 진정한 뷰티 액세서리인 루쥬 알뤼르는 스스로를 보고 또 타인에게 보여지기를 원하는 당신의 욕망을 자극합니다. 루쥬 알뤼르는 당신의 매력을 위한 럭셔리 아이템이 될 것입니다.,0,A2-009.jpg,1
A2-010,화장품,메이크업,바닐라코,플래쉬 볼륨&스키니 듀얼 마스카라,18000,소프트 피넛 볼륨 브러쉬와 슬림 마이크로 브러쉬로 볼륨 컬링 롱래쉬까지 빈틈없는 속눈썹을 연출하는 듀얼 마스카라,2500,A2-010.jpg,1
A3-001,화장품,향수,샤넬,N°5 오 드 빠르펭 스프레이 50ML,141000,훌로랄-알데하이드 정의할 수 없는 여성다움을 표현하는 가상의 꽃다발. 우아하고 매혹적이며 현대적인 시간을 초월하는 향수입니다. 'N°5 오 드 퍼퓸'은 단지 향의 농도만을 달리 한 것이 아닌 본래의 향이 추구하는 바와 베이스 노트에 충실하면서 한편으로 새로움을 추구한 향의 새로운 해석입니다.,0,A3-001.jpg,1
A3-002,화장품,향수,필로소피,어메이징 그레이스 향수 (60ml) 세트,69000,자몽향으로 시작되는 너무나도 유혹적인 블렌딩으로 오감을 만족시킵니다. 거부할 수 없을 만큼 부드럽고 청결한 후리지아의 향 그리고 머스크가 고유의 클래식한 미와 함께 지속됩니다. ,0,A3-002.jpg,1
A3-003,화장품,향수,랑방,잔느 쿠튀르버디 에디션 (100ml),47000,파라다이스의 새를 떠올리는 파스텔 컬러의 깃털로 디자인된 패키지와 프루티 플로럴 향조의 부드럽고 숨결같이 섬세한 감각의 향이 파라다잉스 신기루로 초대한다. ,0,A3-003.jpg,1
A3-004,화장품,향수,페라리,스쿠데리아 페라리 라이트에센스 125ml 세트(+립밤/샘프2종),44500,프레쉬하고 라이트한 향취로 탄생한 페라리 라이트 에센스 페라리의 강력한 브랜드 파워에 대중적으로 인기 있는 프레쉬한 향취 계열을 조화시켜 큰 성공을 거두고 있다.,0,A3-004.jpg,1
A3-005,화장품,향수,조르지오 아르마니,아쿠아디지오 옴므 오 드 뚜왈렛 (100ml),87400,상쾌한 바다와 따뜻한 태양 그리고 비옥한 땅에 영감을 받아 탄생한 가볍고 우아한 향수 아쿠아틱한 아로마 향이 베르가모트 네롤리 그린 텐저린과 어울려 후레시합니다. 가벼운 아쿠아 뉘앙스는 자스민 장미 로즈마리 인도네이사 파출리 향과 어우러져 후레시하면서도 육감적인 남성적 향수를 만들어냅니다.,0,A3-005.jpg,1
A3-006,화장품,향수,딥티크,오에도 오 드 뚜왈렛 100ml,175000,뿌리는 즉시 상쾌하고 생동감 있는 레몬과 시원하고 약간 스파이시한 만다린의 향을 먼저 느낄 수 있으며 여기에 풍부하고 따뜻한 백리향이 전해집니다. ,0,A3-006.jpg,1
A3-007,화장품,향수,시슬리,오 뜨로삐깔 50ml,99000,강렬하고 황홀한 마성의 튜베로즈 향. 그러나 조향사는 이 치명적인 꽃을 터키 로즈와 섬세한 바이올렛 향으로 순화시켜 독특하면서 공기처럼 생기 넘치고 가벼운 향으로 그려냅니다. 기쁘고 젊음이 넘치며 컬러풀한 오 뜨로삐깔은 아름다운 자연의 에센스로 구성된 향수입니다.,0,A3-007.jpg,1
A3-008,화장품,향수,펜할리곤스,아르테미지아 EDP 50mL,172000,2002년에 만들어진 아르테미지아는 비단과 캐러멜의 부드러움을 지닌 섬세한 향수입니다. 떨어지는 초록사과와 잘 씻긴 승도 복숭아를 자스민차와 함께 마시는 듯한 기분이 들며 바이올렛 시클라멘 백합의 꽃잎들이 막 떨어지는 듯한 향을 우아하게 묘사했습니다. 달콤한 바닐라와 따뜻한 향료들의 향이 동시에 느껴지는 것은 엠버와 머스크의 영향 때문입니다. 너무 아름다워 잊을 수 없고 편안함이 느껴지는 향기입니다.,0,A3-008.jpg,1
A3-009,화장품,향수,프레쉬,슈가 리치 오 드 퍼퓸 (100ml),147000,세계적인 조향사이자 프레쉬의 창시자인 레브 글레이즈먼(Lev Glazman)에 의해 탄생된 '액체의 보석'이라 불리우는 자연 그대로의 향을 재현한 향수(달콤하고 낭만적인 프루티 향) 이국적인 과일 향을 주 원료로 캬라멜과 연꽃의 플로럴 향과 상큼한 시트러스의 향을 배합한 부드러운 향입니다.,0,A3-009.jpg,1
A3-010,화장품,향수,페라가모,페라가모 아띠모 로 플로랄 (100ML),149000,아띠모의 매혹적인 향 노트들은 세련된 꽃을 통한 관능적인 여성의 매력 뿐만 아니라 언제나 충분히 소화할 수 있는 새로운 차원의 향수로 탄생하였습니다. ,0,A3-010.jpg,1
A4-001,화장품,바디.헤어케어,더바디샵,모링가 바디케어 4종 세트(887434),15000,신비롭고 우아한 꽃향기가 기분을 상쾌하게 하는 바디 샤워젤. 신비롭고 우아한 꽃향과 함께하는 바디스크럽. 우아한 Rhcgidd기와 피부를 부드럽게 보습하는 바디로션,2500,A4-001.jpg,1
A4-002,화장품,바디.헤어케어,오르비스,클리어 바디 로션 215ml+클리어 바디 워쉬 260ml,25600,신경쓰이는 바디 고민을 씻어내는 클리어 바디 워시. ,2500,A4-002.jpg,1
A4-003,화장품,바디.헤어케어,데메테르,퍼퓸드샴푸4종+퍼퓸드트리트먼트2종 / 기트프박스,29000,수많은 월드스타의 잇아이템! 셀러브리티들의 사랑을 받는 이유,2500,A4-003.jpg,1
A4-004,화장품,바디.헤어케어,유노하나,벳부온천 미네랄 입욕제 유노하나 800g + 800g + 선택구성,45000,눈꽃같이 피어오르는 벳부온천 유노하나. 마치 크리스탈처럼 반짝이는 벳부온천 유노하나. 자연의 은혜. 피부가 먹는 미네랄 유노하나는 온천효과도 뛰어납니다. ,0,A4-004.jpg,1
A4-005,화장품,바디.헤어케어,더바디샵,샤워젤&핸드 3종 선물세트(885606),17900,상큼한 자몽향의 상쾌한 바디 클렌저. 끈적임 없이 산뜻한 질감의 핸드크림. ,2500,A4-005.jpg,1
A4-006,화장품,바디.헤어케어,댕기머리,진기현 2set,101000,진귀한 기운으로 두피와 머릿결을 건강하게. 물이 다른 샴푸액! 한국사람이 가장 선호하는 건강식품인 홍삼! 그 귀한 홍삼추출물을 진기에 담다! ,0,A4-006.jpg,1
A4-007,화장품,바디.헤어케어,실크테라피,150ml×2＋60ml×2＋15ml×2＋체험분파우치1매,59000,고급 헤어살롱의 프로페셔널 케어를 실크테라피에 담았습니다. 당신의 건강하고 아름다운 머릿결을 위해 전 세계 99개국 헤어 디자이너의 선택을 직접 경험해 보세요. ,0,A4-007.jpg,1
A4-008,화장품,바디.헤어케어,뉴트로지나,릴랙싱 바디 모이스처라이저 250ml + 릴랙싱 바디 워시 950ml - 2종세트,23500,외부 자극으로 지친 피부를 오랜시간 촉촉하게. 노르웨이젼 포뮬러만의 특별한 보습 성분 함유. 내추럴 아로마 복합 성분이 기분까지 편안하게.,2500,A4-008.jpg,1
A4-009,화장품,바디.헤어케어,아비노,스트레스 릴리프 바디 워시 532ml 2개,21000,릴랙싱한 향으로 잘 알려진 에센셜 카모마일. 진한 보습을 주는 내추럴 코로이달 오트밀.,2500,A4-009.jpg,1
A4-010,화장품,바디.헤어케어,베티나바티,바디 2종 선물세트(바디로션+샤워젤),47000,글리세린의 함량을 높여 보습력과 향의 지속력을 강화시킨 목욕제품으로 피부를 촉촉하고 부드럽게 관리해줍니다. ,0,A4-010.jpg,1
A5-001,화장품,남성화장품,우르오스,올인원 모이스처라이저 200ml ,29700,피부 컨디셔닝 AMP의 파워보습으로 피부를 매끈하게 관리. 9가지 허브추출물이 면도와 외부자극으로 손상된 남성 피부를 진정시켜줌. ,2000,A5-001.jpg,1
A5-002,화장품,남성화장품,캘빈클라인,원 스킨 모이스처라이저 250ml (스킨/로션 겸용),26900,얼굴과 몸에 사용하는 스킨 & 로션 겸용 화장품으로 피부에 활력을 더해주며 피부의 정돈을 도와 촉촉함을 더해 줍니다. ,2000,A5-002.jpg,1
A5-003,화장품,남성화장품,이니스프리,포레스트 포맨 퍼펙트 올인원 에센스,25000,모공을 탄탄하게 잡아주고 건조에 의해 야기된 피부 주름은 개선되고 자외선 트러블에 의한 피부 칙칙함을 맑고 투명하게 관리. ,2000,A5-003.jpg,1
A5-004,화장품,남성화장품,네이처리퍼블릭,아프리카 버드 옴므 올인원 모이스처 컨트롤러,18000,스킨 로션 에센스를 한번에 해결해주는 올인원 타입으로 끈적임없이 촉촉하게 흡수되며 외부 유해환경에 노출되어 민감하고 거칠어진 수분 부족형 남성 피부에 넘치는 수분 에너지를 부여하여 촉촉함이 오래 유지되도록 케어해줍니다. ,0,A5-004.jpg,1
A5-005,화장품,남성화장품,참존,휴브 포맨 더블 콤플렉스,20000,주름개선기능 성분 함유. 남성들의 복합적인 피부문제 해결. 주름과 보습을 한번에 .,2500,A5-005.jpg,1
A5-006,화장품,남성화장품,라네즈,옴므 퓨어 브라이트닝플루이드 125ML,30000,스킨/로션이 합쳐진 산뜻한 플루이드 타입으로 피부를 환하고 생기 있게 만들어 줍니다. 나이아신아마이드가 남성 피부를 칙칙하게 만드는 과다 각질을 케어해주어 피부톤을 환하게 개선해줍니다. ,2000,A5-006.jpg,1
A5-007,화장품,남성화장품,보닌,트리플액션 원샷플루이드&UV선프로텍터 기획세트,32000,한번에 해결되는 남성용 데일리 세트. 주름+미백 이중 기능성까지 실현한 올인원제품과 선프로텍터 그리고 품클렌져까지 같이 만나세요.,2500,A5-007.jpg,1
A5-008,화장품,남성화장품,에이씨화인,옴므 4 in1 토탈 솔루션,28000,알부틴 함유되어 있어 피부를 환하게 도와주며 알란토인과 보습성분 함유로 부드러운 사용감과 빠른 피부 흡수로 피부를 촉촉하게 해줍니다.,2000,A5-008.jpg,1
A5-009,화장품,남성화장품,플로이드,쉐이빙 폼(300ml)+쉐이빙오일(50ml) 세트,58000,전통 쉐이빙 제품에 유니크한 이미지가 더해진 고 퀼리티의 제품으로 엑스트라포밍 제형이 주는 풍부하고 부드러운 질감의 크림이 면도하는 동안 피부에 쫀득하게 달라붙어 잇으며 자극없는 면도를 즐길 수 있게 해 드리며 면도 후 잔여물을 쉽게 물에 씻겨 내려가게 합니다. ,0,A5-009.jpg,1
A5-010,화장품,남성화장품,꽃을든남자,에너지팩토리 맨즈밤+미스트토너+수분크림젤+폼클렌징 4종기획구성,43900,깨끗하고 건강한 피부톤도 매너 하나로 안색보정까지 올인원 스킨케어,0,A5-010.jpg,1
B1-001,잡화,여성가방,라빠레뜨,라빠레뜨Small Tote Bag,131400,클래식하면서도 모던한 스타일의 'STELLA LINE' 멋스러운 표면감의 소가죽 소재와 새틴처리된 금속장식으로 럭셔리한 스타일링을 완성할 수 있는 디자인의 라인 입니다. ,0,B1-001.jpg,1
B1-002,잡화,여성가방,시슬리,시슬리 레인보우 쇼퍼백 3종 세트,168000,시즌에 구분없이 가장 사랑받는 기본 스타일링 가방,0,B1-002.jpg,1
B1-003,잡화,여성가방,맥끌라니,맥끌라니 382찡 크로스백,328000,누구나 가지고 있고 사고 싶은 베이직한 아이템의 특별함. 맥끌라니가 당신에게 전하고 싶은 가치입니다. ,2000,B1-003.jpg,1
B1-004,잡화,여성가방,바이커스탈렛,바이커스탈렛 LIBBY,306000,빈티지와 미니멀리즘으로 완성된 최고급 우피 선별하여 사용한 숄더백 겸 클러치입니다. 군더더기 없이 똑 떨어지는 라인과 골드 로고 디테일이 클래식하면서도 고급스럽게 마감되었습니다.,0,B1-004.jpg,1
B1-005,잡화,여성가방,루이까또즈,루이까또즈 숄더백 HI1CB01BL,453000,XIV퀄팅과 볼드한 심볼오프너 장식의 조화가 돋보이는 페미닌한 스타일의 영성 숄더백. 모던한 블랙컬러가 세련된 아이템으로 정장뿐 아니라 캐주얼한 착장에도 코디하기 좋은 상품. ,0,B1-005.jpg,1
B1-006,잡화,여성가방,엠시엠,MCM 스몰 숄더백 키아나,598500,MCM의 양피 가죽 라인에 트랜드를 접목한 구조적인 형태감이 특징. 가볍고 소프트한 버블 램 소재로 매우 가볍고 부드러워 데이백의 기능을 하는 아이템으로 어떤 착장에도 코디가 가능. 양가죽 본래의 특성을 최대한 살려 표면처리를 최소화한 제품에 MCM 음각 처리를 하여 고급스러움 배가. 양 사이드에 볼드한 스터드 장식으로 MCM의 로고를 표현하여 모던한 룩과 착장 시 스타일에 쉬크하게 포인트를 주는 라인 플랩 안쪽으로 똑딱이를 추가하여 내부의 내용물이 쏟아지지 않도록 보호 손에 쥐기 편한 두께의 업그레이드 라운드 핸들로 그립감이 뛰어남. 탈부착 가능한 크로스끈이 함께 구성되어 있어 다양한 활용이 가능(길이 조절 가능). 적당한 사이즈의 감각적인 쉐입으로 여성스러운 이미지와 잘 어우러짐 양방향 윗면 탑지퍼 방식으로 사용의 편의성을 높이고 좌우로 내려오는 지퍼로 가방의 오픈이 손쉬운 상품. 밑면에 오염 및 마모를 방지하는 4개의 금속 발 장식. 내부는 코튼이 함유된 원단으로 친환경 소재 내부 수납공간 - 오픈포켓 3개 지퍼포켓 2개.,0,B1-006.jpg,1
B1-007,잡화,여성가방,쌤소나이트,쌤소나이트 TOPLINE-6 BACKPACK_Navy,187000,나일론 소재를 사용하여 가볍고 고급스러우며 어떠한 스타일에도 잘어울리는 머스트해브 아이템!,0,B1-007.jpg,1
B1-008,잡화,여성가방,캐스키드스,접이식백팩2종택1?,73000,2013 A/W 시즌 새로운 프린트와 디자인으로 구성되니 접이식 백팩입니다. 폴리 소재로 가볍고 접이식으로 실용성을 더하여 아이들과 어른들 모두 사용가능한 백팩입니다. ,0,B1-008.jpg,1
B1-009,잡화,여성가방,만다리나덕,만다리나덕 백팩 REMOVING 3NT16,229600,기존 무빙을 재해석한 라인으로 무빙과 동일한 가볍고 펄감이 도는 소재를 사용하여 가죽과 원단을 매치시켜 새로운 형태감과 기능성을 제시한다. 이러한 고객의 시각으로 기능적인 면을 사용자 지정에 맞춘것이 이 라인의 큰 특징으로 불투명 레진으로 코딩 처리된 로고 지퍼플러가 사용되었으며 유광의 버클은 스포티하며 다이나믹한 이 라인의 화려함을 더한다. ,0,B1-009.jpg,1
B1-010,잡화,여성가방,아메리칸투어리스트,PRISMO SPINNER 65/24 수화물용 여행가방,178000,여행구에 바퀴를 최초로 장착한 쌤소나이트만의 휠 시스템이 단단하고 부드럽게 최고의 구동성을 자랑,0,B1-010.jpg,1
B2-001,잡화,구두,핏플랍,핏플랍 14SS,90300,핏플랍의 베스트 셀링 아이템 일렉트라 뉴 버전 아스트리드. 반짝이는 소재에 블링블링한 비즈 장식이 아릅답게 조화됩니다. 은은하면서도 화려한 멋을 지닌 아이템입니다. ,0,B2-001.jpg,1
B2-002,잡화,구두,지니킴,April_PEOS001,110400,2006년 런칭한 JINNY KIM은 1930년~50년대 HOLLYWOOD STAR들의 'ROMNATIC MOOD & GLAMOROUS LIFES STYLE'을 반영한 감각적인 슈즈로 세계유명 셀렙들과 패션피플들에게 주목받고 있는 DESIGNER SHOES BRAND이다. ,0,B2-002.jpg,1
B2-003,잡화,구두,레이첼콕스,Sandals_Coollip R1070,110000,와이드한 밴드 스크랩이 발등을 편안하게 감싸주어 다양한 캐주얼 룩에 편안하게 코디할 수 있는 샌들입니다. 폭신한 코르크 창이 편안한 착화감을 느끼게 하는 슈즈로 올여름 MUST HAVE 아이템입니다. ,0,B2-003.jpg,1
B2-004,잡화,구두,락피쉬,락피쉬 레인부츠 ,69420,14SS 락피쉬 위슬리 가든 컬렉션은 영국의 왕립 원예협회의 본부에 위치한 위슬리 가든에서 영감을 얻어 자연그대로의 아름다운 감성을 표현한 컬렉션입니다. ,0,B2-004.jpg,1
B2-005,잡화,구두,세인트디보스,D9P32501-5 세인트디보스 토오픈 5컬러,43200,디보스는 100% 순수 국내 제작상품으로 더욱 고급스러운 컬러감과 편안한 착화감을 보여줍니다.,2000,B2-005.jpg,1
B2-006,잡화,구두,미소페,미소페 소가죽 샌들 오렌지 511424017,82000,가보시와 굽에 잔잔한 빗살호일 무늬의 가죽으로 포인트를 주어 세련된 멋을 내는 샌들!,0,B2-006.jpg,1
B2-007,잡화,구두,엘리자벳,엘리자벳 토오픈 인사이드 토오픈 E9160,59500,깔끔하고 고급스러운 리자드 무늬의 펄이 잔잔히 가미된 화이트와 페미닌한 스킨 핑크 컬러의 아이템입니다. 기본 토오픈 형식에 안쪽 사이드를 오픈해 발을 좀더 슬림하게 보이는 효과가 있습니다. ,0,B2-007.jpg,1
B2-008,잡화,구두,탐스,발걸음이 빛나는 글리터 3종,68000,발걸음이 빛나는 글리터 3종,0,B2-008.jpg,1
B2-009,잡화,구두,내츄럴월드,내추럴월드 Ingles elastico 102,36000,빈티지한 워싱이 스타일리쉬합니다. 친환경적인 에코 슈즈로 인체에 무해합니다. 다양한 파스텔톤의 컬러가 시선을 사로잡는 컨버스입니다. 에코 휴머니즘을 모토로 자연향기를 담아 언제나 상쾌한 스니커즈입니다. 빈티지한 스타일로 오래신을 수록 더 멋스러운 스타일링 연출 가능합니다. Made in Spain,0,B2-009.jpg,1
B2-010,잡화,구두,모그어스,[MOG.AUS][웨지]NANETTE WEDGE_MGADSFWGP004,25200,MOG.AUS의 샌들 라인으로 S/S 시즌 일상생활에서 휴양지까지 활용하실수 있으며 산뜻하고 캐쥬얼한 느낌으로 시원하게 착화하실 수 있습니다. ,2000,B2-010.jpg,1
B3-001,잡화,시계,메트로시티,메트로시티 여성시계 패키지 MT1238,82800,여성전용 제품으로 앙증맞은 사이즈와 화려한 보석들로 꾸며져 있어 화려한 쥬얼리 감성을 가진 시계로 여성 고객의 스타일을 한층 높여주는 디자인. ,0,B3-001.jpg,1
B3-002,잡화,시계,해리메이슨,NEW ARRIVAL 메탈워치 HM-1101S1,99000,시계 하나로 4가지 스타일 연출! ,0,B3-002.jpg,1
B3-003,잡화,시계,알바,알바 남성용 메탈시계 2종 中택일 AS3001X/AT3011X1,161000,클래식하면서도 럭셔리한 느낌을 주는 오버 사이즈 워치입니다. 정교한 베젤과 용두는 클래식한 멋을 더해주고 로만 인덱스와 조화를 이룹니다. 날짜와 요일을 표시해주고 레트로 그래이드 요일 표시창을 갖추고 있습니다. ,0,B3-003.jpg,1
B3-004,잡화,시계,엘르,엘르 여성용 손목시계,49000,1945년 프랑스에서 창간한 ELLE 매거진의 성공에 힘입어 탄생한 LifeStyle Fashion 브랜드 ELLE는 최신 트렌드와 글로벌한 브랜드의 감성을 실용적으로 제안하는 브랜드입니다. ,0,B3-004.jpg,1
B3-005,잡화,시계,밀튼스텔리,Milton Stelle™ Italy MS-081M ,132000,시계의 가치와 착용하는 사람의 세련미를 한층 더 업그레이드 시켜주는 화이트 크리스탈 장식과 자개판 다이얼. 부식 방지와 착용감을 위해 스테인리스 스틸 소재로 제작된 'MILTON STELLE' 타입 로고가 각인된 케이스백,0,B3-005.jpg,1
B3-006,잡화,시계,로즈몽,RS1_01,294000,40개의 산화 지르코늄을 얇은 베젤 부분에 촘촘하게 파베 세팅하여 클래식함과 모던함을 두루 겸비한 컬렉션. 로즈. 엘로우 골드 시계는 에나멜 off-white 문자판 실버 시계는 자게 다이얼을 사용. 고전적이며 빈티지 느낌마저 감도는 브리슬릿 워치 컬렉션. Off-white 다이얼이 시계와 자연스럽게 어울리면서 14개의 산화 지르코늄이 밴드 고리 부분에 세팅되어 있어 우아함이 특징 ,0,B3-006.jpg,1
B3-007,잡화,시계,게스,B1-Class Lady 메탈 여성시계 (X17003L1),225000,수작업으로 제작된 다이얼 인덱스 카본파이버 다이얼 이태리산 소가죽 스트랩은 고품격 타임피스의 디테일을 한껏 살려준다. ,0,B3-007.jpg,1
B3-008,잡화,시계,스위스밀리터리,SMW65172.04.001 메탈시계,550000,스테인레스 스틸 케이스 및 밴드로 구성되어 있으며 방수에 강하고 문자판의 야광 정도가 타 브랜드에 비해 월등하다.?또한 투박하고 선이 굵은것이 그 특징이며 최근 유행하고 있는 밀리터리 패션의 주도층인 신세대 및 청년층의 액세사리 소품으로?어울리는 단순하면서도 스포티한 패션감각을 창출하고 있다.,0,B3-008.jpg,1
B3-009,잡화,시계,로만손,남성 CERAMIC 시계 (TM1231HM1BA32W),450000,바젤월드 명품관에서 10년간 세계적인 찬사를 받아온 네오클래식 컨셉의 로만손 전통 컬렉션으로 부드러운 착용감과 도시적인 세련미를 강조했습니다. ,0,B3-009.jpg,1
B3-010,잡화,시계,로머,로머 메탈 워치 202858 41 54 90,451800,역사가 살아 숨쉬는 스위스 전통 브랜드 로머(ROAMER) 고도의 정밀함으로 완성된 합리적 가격의 워치 ,0,B3-010.jpg,1
